№;Бренд;Модель;P';Ссылка;;руб.;$;Штрихкод;Диаметр;Высота;Вес;Напряжение;Цок.;Вид;Тип;Подтип;Мат;Лм';Экв';Цвет';Ra;Срок;Гар;Изг;Дим;Вык;P;Лм;Экв;Цвет;CRI;CQS;R9;Угол;Пульс;PF;Дата;Итог;Umin;Драйвер;Tmax;Актуальна;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5
43;Gauss;HA103201103;3;;http://ledroid.ru/gauss-led-3w-e14-2700k/;359;;4620747867726;35;107;;100-240;E14;Candle;LED;;0;250;40;2700;;30000;;;0;3;2.7;200;25;2776;82.7;;14;264;2;0.52;29.07.2014;3.7;;;;0
44;Thomson;TL-60W Classic;6;;;780;;4603720965091;60;112;;220-240;E27;Bulb;LED;FIL;0;560;60;3000;;25000;;;0;1;5.7;614;65;3162;82.7;;12;279;1;0.58;15.01.2015;4.0;;;;1
45;Thomson;TL-40W Classic;4;;http://ledroid.ru/dlya-doma/thomson-tl-40w-classic/;341;;4603720965107;35;144;;220-240;E14;Candle;LED;FIL;0;350;40;3000;;25000;;;0;1;4.1;380;45;3018;81.5;;6;275;1;0.56;15.01.2015;4.0;;;;1
46;IKEA;002.574.82 E27 LED1309G15;13;;;799;;0025748221633;60;125;;220-240;E27;Bulb;LED;;1;1000;100;2700;;25000;24;;1;1;12.3;924;85;2741;91.6;;58;230;17;0.94;07.04.2016;3.9;;;;1
47;IKEA;102.662.21 E27 LED1339G10;10;;;499;;1026622121633;60;120;;220-240;E27;Bulb;LED;;1;600;60;2700;;25000;24;;1;1;8.3;644;65;2696;94.4;;70;252;22;0.92;18.08.2015;3.5;;;;0
48;IKEA;702.871.07 E27 LED1402G8K4;8;;;499;;7028710721633;60;120;;220-240;E27;Bulb;LED;;1;600;60;4000;;25000;24;;1;1;7.2;636;65;4180;83.9;;12;253;18;0.95;07.04.2016;4.0;;;;1
49;IKEA;003.014.23 E27 LED1423G9;8.6;;;499;;0030142322858;60;110;;220-240;E27;Bulb;LED;;0;600;60;2700;;25000;24;;1;1;8.4;592;60;2668;92.1;;61;196;17;0.96;23.03.2015;4.0;;;;0
50;IKEA;102.666.93 E27 LED1221G7;6.3;;;169;;1026669321633;60;109;;220-240;E27;Bulb;LED;;1;400;40;2700;;25000;24;;0;1;6.4;410;45;2743;91.5;;54;255;20;0.76;23.03.2015;3.5;;;;0
51;IKEA;402.880.66 E27 LED1325G3;3.5;;;299;;4028806621633;45;72;;220-240;E27;G45;LED;;1;200;20;2700;;25000;24;;0;1;3.5;213;25;2739;94.7;;72;214;7;0.59;07.04.2016;4.5;;;;0
52;IKEA;902.552.90 E14 LED1012G5;3.5;;;169;;9025529021633;45;79;;220-240;E14;G45;LED;;1;200;20;2700;;25000;24;;0;1;3.4;210;25;2672;95.6;;76;128;15;0.59;18.08.2015;4.0;;;;0
53;IKEA;802.489.93 E14 LED1221G7;6.3;;;169;;8024899321633;60;109;;220-240;E14;Bulb;LED;;1;400;40;2700;;25000;24;;0;1;6.5;413;45;2664;93.1;;64;257;15;0.78;23.03.2015;4.0;;;;0
54;IKEA;602.880.70 E14 LED1328C6;6.3;;;249;;6028807021633;42;110;;220-240;E14;Candle;LED;;1;400;40;2700;;25000;24;;0;1;5.7;416;45;2697;92.2;;55;248;24;0.74;23.03.2015;3.5;;;;0
55;IKEA;102.880.01 E14 LED1327C3;3.5;;;199;;1028800121633;35;102;;220-240;E14;Candle;LED;;0;200;20;2700;;25000;24;;0;1;3.4;228;30;2688;95.6;;75;231;8;0.59;23.03.2015;4.5;;;;0
56;IKEA;802.879.89 E14 LED1318R4;3.6;;;249;;8028798921633;50;84;;220-240;E14;Spot;LED;;0;200;20;2700;;25000;24;;0;1;3.6;210;25;2743;83;;17;33;4;0.5;23.03.2015;4.0;;;;0
57;IKEA;402.880.52 GU10 LED1334R7;6.3;;;249;;4028805221633;50;60;;220-240;GU10;Spot;LED;;0;400;40;2700;;25000;24;;1;1;5.7;444;50;2782;82.3;;7;38;29;0.94;23.03.2015;3.0;;;;0
58;Navigator;NLL-F-C35-4-230-2.7K-E14;4;;;221;;4670004713075;35;100;;176-264;E14;Candle;LED;FIL;0;350;40;2700;;30000;;;0;1;3.4;369;40;2877;83.7;;17;286;5;0.61;18.08.2015;4.0;;;;1
59;Navigator;NLL-F-A60-6-230-2.7K-E27;6;;;286;;4670004713051;60;105;;176-264;E27;Bulb;LED;FIL;0;650;60;2700;;30000;;;0;1;6;565;60;2757;83.9;;15;301;3;0.56;18.08.2015;3.8;;;;1
60;Navigator;NLL-F-A60-8-230-2.7K-E27;8;;;377;;4670004713068;60;105;;176-264;E27;Bulb;LED;FIL;0;780;75;2700;;30000;;;0;1;6.9;746;75;2685;83.7;;16;298;4;0.58;18.08.2015;4.0;;;;1
